calcimycin,d03.633.100.221.173
temefos,d02.705.400.625.800
temefos,d02.705.539.345.800
temefos,d02.886.300.692.800
abattoirs,j01.576.423.200.700.100
abattoirs,j03.540.020
abbreviations as topic,l01.559.598.400.556.131
abdomen,a01.923.047
"abdomen, acute",c23.888.592.612.054.200
"abdomen, acute",c23.888.821.030.249
abdominal injuries,c26.017
abdominal neoplasms,c04.588.033
abdominal muscles,a02.633.567.050
abducens nerve,a08.800.800.120.030
abelson murine leukemia virus,b04.613.807.375.525.020
abelson murine leukemia virus,b04.820.650.375.525.020
abetalipoproteinemia,c16.320.565.398.500.440.500
abetalipoproteinemia,c18.452.584.500.875.440.500
abetalipoproteinemia,c18.452.648.398.500.440.500
congenital abnormalities,c16.131
"abnormalities, drug-induced",c16.131.042
"abnormalities, multiple",c16.131.077
"abnormalities, radiation-induced",c16.131.080
"abnormalities, radiation-induced",c26.733.031
"abnormalities, radiation-induced",g01.750.748.500.031
"abnormalities, radiation-induced",n06.850.460.350.850.500.031
"abnormalities, radiation-induced",n06.850.810.300.360.031
abo blood-group system,d23.050.301.290.031
abo blood-group system,d23.050.705.230.031
abomasum,a13.869.106
abortifacient agents,d27.505.696.875.131
abortifacient agents,d27.505.954.705.131
"abortifacient agents, nonsteroidal",d27.505.696.875.131.100
"abortifacient agents, nonsteroidal",d27.505.954.705.131.100
"abortifacient agents, steroidal",d27.505.696.875.131.200
"abortifacient agents, steroidal",d27.505.954.705.131.200
"abortion, spontaneous",c13.703.039
"abortion, spontaneous",g08.686.784.769.496.125
abortion applicants,m01.050
"abortion, criminal",i01.198.240.089
"abortion, eugenic",e04.520.050.050
"abortion, habitual",c13.703.039.089
"abortion, incomplete",c13.703.039.093
"abortion, induced",e04.520.050
"abortion, legal",e04.520.050.055
"abortion, missed",c13.703.039.173
"abortion, septic",c01.539.674.173
"abortion, septic",c13.703.039.256
"abortion, septic",c13.703.700.173
"abortion, therapeutic",e04.520.050.060
"abortion, threatened",c13.703.090
"abortion, veterinary",c13.703.039.422
"abortion, veterinary",c22.021
abreaction,f04.754.720.107
abrin,d08.811.277.450.430.700.750.111
abrin,d12.776.503.499.249
abrin,d12.776.765.678.906.111
abruptio placentae,c13.703.420.078
abruptio placentae,c13.703.590.132
abscess,c01.539.830.025
abscess,c23.550.470.756.100
peritonsillar abscess,c01.539.830.025.675
peritonsillar abscess,c07.550.781.750.500
peritonsillar abscess,c08.730.561.750.500
peritonsillar abscess,c09.775.649.750.500
abscisic acid,d02.241.223.268.034
abscisic acid,d02.455.326.271.665.202.061
abscisic acid,d02.455.426.392.368.367.379.249.024
abscisic acid,d02.455.849.131.061
abscisic acid,d02.455.849.765.033
absenteeism,f02.784.692.107
absorption,g01.015
absorption,g02.010
absorption,g03.015
absorption,g03.787.024
absorption,g07.690.725.015
abstracting and indexing as topic,l01.453.245.100
dental abutments,e06.780.346.500
dental abutments,e07.695.190.175
acacia,b01.650.940.800.575.912.250.401.025
academic medical centers,n02.278.020
academies and institutes,n03.540.052
acanthamoeba,b01.046.500.100.075.080
acanthocephala,b01.050.500.500.132
acanthocytes,a11.118.290.330.100
acanthocytes,a11.443.240.330.100
acanthocytes,a15.145.229.334.330.100
acantholysis,c17.800.865.070
acantholysis,c23.550.035
acanthosis nigricans,c17.800.621.430.530.100
acari,b01.050.500.131.166.132
acceleration,g01.482.107
accessory nerve,a08.800.800.120.060
accident prevention,n06.850.135.060
accident proneness,f01.145.015
accidental falls,n06.850.135.122
accidents,n06.850.135
"accidents, aviation",n06.850.135.185
"accidents, home",n06.850.135.217
"accidents, occupational",n06.850.135.240
"accidents, traffic",n06.850.135.392
acclimatization,g07.025.133
acclimatization,g16.012.500.133
"accommodation, ocular",g14.010
accounting,n03.219.463.030
oil and gas industry,j01.576.655.875.750
coal industry,j01.576.655.875.200
driving under the influence,f01.145.250.250
driving under the influence,f01.145.263.500
driving under the influence,i01.880.735.223.250
driving under the influence,i03.125.649
human embryonic stem cells,a11.872.700.250.750
mouse embryonic stem cells,a11.872.700.250.875
embryonic germ cells,a11.497.124
embryonic germ cells,a11.872.700.250.625
work performance,i03.946.675
criminal behavior,f01.145.250
clinical decision-making,e01.055
cognitive aging,g07.345.124.260
cognitive neuroscience,f04.096.628.255.500
cognitive neuroscience,h01.158.610.030
emotional adjustment,f01.058.144
emotional adjustment,f01.752.543.500.250
facial recognition,f02.463.593.524.500.500
facial recognition,f02.463.593.932.622.500
grandparents,f01.829.263.403
grandparents,i01.880.853.150.452
grandparents,m01.264
help-seeking behavior,f01.145.813.217
heuristics,f02.463.425.725.500
heuristics,f02.463.785.810.500
intimate partner violence,i01.198.240.856.575
intimate partner violence,i01.880.735.900.688
neurological rehabilitation,e02.760.169.063.500.477
neurological rehabilitation,e02.831.477
neurological rehabilitation,h02.403.680.600.750
neurological rehabilitation,n02.421.784.511
physical abuse,i01.198.240.856.688
physical abuse,i01.880.735.900.744
problem behavior,f01.145.126.972
problem behavior,f01.145.179.750
underage drinking,f01.145.022.750
underage drinking,f01.145.317.269.875
underage drinking,i01.880.735.878
ectopic gene expression,g05.308.202
cell plasticity,g04.356.250
cell self renewal,g04.144.220.235
cell self renewal,g04.161.750.500.375
cell self renewal,g05.113.415
cell self renewal,g07.345.249.410.750.500.625
rehabilitation research,h01.770.644.145.472
orthodontists,m01.526.485.330.655
orthodontists,n02.360.330.655
oral and maxillofacial surgeons,m01.526.485.330.483
oral and maxillofacial surgeons,n02.360.330.483
neuroprotection,g11.561.645
"diet, food, and nutrition",g07.203
triticale,b01.650.940.800.575.912.250.822.906
critical care outcomes,n04.761.559.590.399.250
critical care outcomes,n05.715.360.575.575.200
critical care outcomes,n05.715.360.575.575.399.250
simulation training,i02.903.847
millets,b01.650.940.800.575.912.250.822.587
biobehavioral sciences,h01.770.644.108.687
protein corona,d12.776.642
vegetarians,m01.928
vegans,m01.928.500
accounts payable and receivable,n03.219.463.030.080
youth sports,i03.450.642.845.987
literacy,f01.145.209.429
literacy,n01.824.196.500
severe acute malnutrition,c18.654.521.719
"banking, personal",n03.219.463.030.100
evidence-based facility design,n02.278.200.252
"physical appearance, body",e01.370.600.115.450
"physical appearance, body",g07.100.175
fruit and vegetable juices,g07.203.100.606
fruit and vegetable juices,j02.200.606
ghee,d10.212.302.199.500
ghee,g07.203.300.350.100.500
ghee,g07.203.300.375.200.500
ghee,j02.500.350.100.500
ghee,j02.500.375.200.500
hydraulic fracking,j01.576.655.875.750.500
psychological trauma,f03.950.750.375
peer influence,f01.829.316.483.750
vegetable products,g07.203.300.850.450
vegetable products,j02.500.850.800
direct-to-consumer advertising,j01.219.687.274.500
direct-to-consumer screening and testing,e01.370.398
direct-to-consumer screening and testing,n02.421.726.233.166
extracellular vesicles,a11.284.295.588
fungal viruses,b04.352
telocytes,a11.329.830.750
exoskeleton device,e07.341
shellfish hypersensitivity,c20.543.480.370.763
"failure to rescue, health care",e01.789.800.760.500
"failure to rescue, health care",h01.770.644.145.431.500
"failure to rescue, health care",n04.761.559.590.200
"failure to rescue, health care",n04.761.559.590.800.760.500
"failure to rescue, health care",n05.715.360.575.575.300
"failure to rescue, health care",n05.715.360.575.575.800.760.500
psychiatric rehabilitation,h02.403.680.600.875
psychiatric rehabilitation,n02.421.784.578
symptom flare up,c23.550.291.937.500
isolated heart preparation,e05.519
isolated heart preparation,e05.598.750
"diet, vegan",e02.642.249.300.750
"diet, vegan",g07.203.650.240.300.750
behavior observation techniques,e05.796.112
behavior observation techniques,f04.669.112
behavior rating scale,f04.711.271
alcohol drinking in college,f01.145.317.269.625
"obesity, metabolically benign",c18.654.726.500.698
"obesity, metabolically benign",c23.888.144.699.500.250
"obesity, metabolically benign",e01.370.600.115.100.160.120.699.500.375
"obesity, metabolically benign",g07.100.100.160.120.699.500.375
whole grains,g07.203.300.300.550.500
whole grains,g07.203.300.775.500.500
whole grains,j02.500.300.550.500
whole grains,j02.500.775.500.500
transanal endoscopic surgery,e01.370.388.250.630.500
transanal endoscopic surgery,e04.210.240.250.680.500
transanal endoscopic surgery,e04.502.250.250.250.680.500
transanal endoscopic surgery,e04.502.250.630.500
transanal endoscopic microsurgery,e01.370.388.250.630.500.500
transanal endoscopic microsurgery,e04.210.240.250.680.500.500
transanal endoscopic microsurgery,e04.494.787
transanal endoscopic microsurgery,e04.502.250.250.250.680.500.500
transanal endoscopic microsurgery,e04.502.250.630.500.500
cold injury,c26.212
personal protective equipment,e07.700.560
personal protective equipment,j01.637.708.560
nerve agents,d27.720.599
nerve agents,d27.720.777.300.500
war-related injuries,c26.946
war-related injuries,i01.880.735.950.500.951.500
war-related injuries,n06.850.460.350.600.903.500
abnormal involuntary movement scale,e01.370.600.550.162
blood alcohol content,d02.033.375.135
social communication disorder,f03.625.374.250
legal services,i01.880.604.583.482
defamation,i01.198.240.240
defamation,i01.880.735.191.051
anger management therapy,f04.754.137.087
"psychology, sports",f04.096.628.914
war exposure,i01.880.735.950.500.951
war exposure,n06.850.460.350.600.903
childhood-onset fluency disorder,f03.625.374.125
no-show patients,f01.100.150.750.500.600.750
no-show patients,f01.145.488.887.500.600.750
no-show patients,m01.643.550
no-show patients,n04.452.758.635.500
no-show patients,n05.300.150.800.500.600.750
cellular reprogramming techniques,e05.200.500.380
cellular reprogramming techniques,e05.242.378
cellular reprogramming techniques,e05.393.085
metacognition,f02.463.188.756
prescription drug overuse,e02.319.306.500.750
"near miss, healthcare",e02.319.529.750
"near miss, healthcare",n02.421.450.500.750
"near miss, healthcare",n02.421.450.550
"near miss, healthcare",n04.761.700.594
"near miss, healthcare",n05.700.513
rnai therapeutics,e02.095.301.250
dynamic light scattering,e05.196.822.325
"time out, healthcare",n04.761.700.635
"time out, healthcare",n05.700.739
healthcare failure mode and effect analysis,e05.318.740.600.800.715.500
healthcare failure mode and effect analysis,n04.452.871.715.400
healthcare failure mode and effect analysis,n05.715.360.750.625.700.690.400
healthcare failure mode and effect analysis,n06.850.505.715.500
healthcare failure mode and effect analysis,n06.850.520.830.600.800.715.500
spirit possession,k01.844.619.500
"crew resource management, healthcare",n04.590.254
computer heuristics,l01.224.050.375.095
ataxins,d12.776.631.069
ataxins,d12.776.660.075
alarmins,d23.035
dermal fillers,d27.720.102.461
action spectrum,e05.196.867.826.150
diplomacy,f01.829.316.171
diplomacy,f02.463.785.373.520.500
diplomacy,i01.738.305
mutation accumulation,g05.365.590.594
internal ribosome entry sites,d13.444.735.790.878.942.250
internal ribosome entry sites,g02.111.570.080.689.687.093
internal ribosome entry sites,g05.360.080.689.687.093
biological mimicry,g16.012.750
specific learning disorder,f03.625.562.700
potentially inappropriate medication list,n04.761.700.615
potentially inappropriate medication list,n05.700.594
late onset disorders,c23.550.291.883
phakopsora pachyrhizi,b01.300.179.110
farmers,m01.526.390
culturally appropriate technology,j01.897.052
social learning,f02.784.629.529.663
financial statements,n03.219.463.030.140
miners,m01.526.693
chronopharmacokinetics,g07.690.725.249
"administrative claims, healthcare",n04.452.859.564.137
child health,n01.400.225
interleukin-33,d12.644.276.374.465.850
interleukin-33,d12.776.467.374.465.850
interleukin-33,d23.529.374.465.850
s100a12 protein,d12.776.157.125.750.875
telopodes,a11.284.180.900
telopodes,a11.329.830.750.500
drosophila simulans,b01.050.500.131.617.720.500.500.750.310.250.750
optimism,f01.100.787
pessimism,f01.100.893
ataxin-1,d12.776.631.069.500
ataxin-1,d12.776.660.075.500
adolescent health,n01.400.075
ataxin-2,d12.776.157.725.452.125
ataxin-2,d12.776.631.069.750
ataxin-2,d12.776.660.075.750
ataxin-2,d12.776.664.962.452.125
ataxin-3,d08.811.037.250
ataxin-3,d12.776.631.069.875
ataxin-3,d12.776.660.075.875
point-of-care testing,n04.590.874.500
ataxin-7,d12.776.631.069.901
ataxin-7,d12.776.660.075.900
ataxin-10,d12.776.631.069.950
glucagon-like peptide receptors,d12.776.543.750.695.021
glucagon-like peptide receptors,d12.776.543.750.750.360.100
glucagon-like peptide-1 receptor,d12.776.543.750.695.021.500
glucagon-like peptide-1 receptor,d12.776.543.750.750.360.100.500
glucagon-like peptide-2 receptor,d12.776.543.750.695.021.600
glucagon-like peptide-2 receptor,d12.776.543.750.750.360.100.600
receptor for advanced glycation end products,d12.776.543.750.615
rna recognition motif proteins,d12.776.157.725.813
rna recognition motif proteins,d12.776.664.962.813
elav-like protein 2,d12.776.157.725.813.500.500
elav-like protein 2,d12.776.631.520.500
elav-like protein 2,d12.776.664.962.813.500.500
elav-like protein 3,d12.776.157.725.813.500.750
elav-like protein 3,d12.776.631.520.750
elav-like protein 3,d12.776.664.962.813.500.750
elav-like protein 4,d12.776.157.725.813.500.875
elav-like protein 4,d12.776.631.520.875
elav-like protein 4,d12.776.664.962.813.500.875
elav-like protein 1,d12.776.157.725.813.500.250
elav-like protein 1,d12.776.664.962.813.500.250
whey,g07.203.100.700.750
